lat,lon,co
-22.91865748,-43.17703866,33.92
-22.9151428,-43.17813204,9.71
-22.91252504,-43.17674267,5.99
-22.91413145,-43.17779239,7.46
-22.91945904,-43.17839306,83.67
-22.91533953,-43.17806491,11.16
-22.91260616,-43.17702743,6.1
-22.9094455,-43.1767999,5.55
-22.9094565,-43.1770579,5.74
-22.91558545,-43.17784075,12.23
-22.9187333,-43.17704902,50.05
-22.90941174,-43.17696937,5.69
-22.91738398,-43.17710605,42.44
-22.91412417,-43.17776481,7.4
-22.9129749,-43.1773614,6.16
-22.91288056,-43.17745488,6.38
-22.91180445,-43.17674429,5.85
-22.91137416,-43.17686511,5.79
-22.91942053,-43.17837774,51.78
-22.91137397,-43.1768692,5.8
-22.91683731,-43.17734833,27.8
-22.919459,-43.17840038,71.16
-22.9094873,-43.1770178,5.53
-22.91144936,-43.1768929,5.81
-22.9094873,-43.1770178,5.56
-22.91645674,-43.17749976,19.37
-22.9120705,-43.17666431,5.85
-22.9147297,-43.17804322,8.89
-22.91962959,-43.17844007,23.12
-22.91269128,-43.17718746,6.19
-22.91761857,-43.1771283,1032.82
-22.9152427,-43.1779548,8.61
-22.90943068,-43.17701458,5.68
-22.91576658,-43.1779003,15.15
-22.91327678,-43.17758493,6.6
-22.91932264,-43.17751591,36.39
-22.91158677,-43.17664579,5.83
-22.90995888,-43.17653388,5.74
-22.91017575,-43.17640746,5.8
-22.91623495,-43.17773563,18.16
-22.91088098,-43.17649932,5.82
-22.91869385,-43.17705181,74.63
-22.9094565,-43.1770579,5.71
-22.90943372,-43.17703876,5.67
-22.91290529,-43.17748723,6.42
-22.909791,-43.1766837,5.69
-22.91358809,-43.17776167,6.84
-22.91287383,-43.17724514,6.26
-22.9195543,-43.17847918,21.62
-22.9094873,-43.1770178,5.54
-22.91337384,-43.17757214,6.65
-22.9115458,-43.17675578,5.82
-22.9094455,-43.1767999,5.56
-22.9094565,-43.1770579,5.67
-22.9094873,-43.1770178,5.52
-22.90943988,-43.1769198,5.7
-22.91930583,-43.17758186,40.14
-22.9143899,-43.17808722,8.18
-22.90991834,-43.17658748,5.67
-22.91798196,-43.1770412,662.76
-22.9165814,-43.17742734,19.76
-22.91784444,-43.17702153,854.4
-22.91629112,-43.17765908,18.82
-22.91025183,-43.17646348,5.82
-22.91578924,-43.17788743,15.77
-22.9094565,-43.1770579,5.63
-22.9094565,-43.1770579,5.58
-22.91671157,-43.17733707,25.02
-22.91082188,-43.17650365,5.84
-22.91444644,-43.17806931,8.32
-22.91140209,-43.17687195,5.8
-22.91932624,-43.17750839,42.66
-22.91376663,-43.17769757,7.11
-22.91938416,-43.17818683,93.95
-22.91081445,-43.17651127,5.84
-22.91424102,-43.17775871,7.53
-22.91933938,-43.17800315,127.35
-22.91855499,-43.17697889,136
-22.915289,-43.17813544,10.71
-22.9125574,-43.17702222,6.08
-22.91392988,-43.17777226,7.24
-22.9121701,-43.1766976,5.87
-22.9094461,-43.1767977,5.62
-22.91423246,-43.17789672,7.8
-22.91028136,-43.17647475,5.82
-22.91193897,-43.17674158,5.86
-22.917447,-43.17710566,164.74
-22.90962252,-43.1768063,5.7
-22.90996207,-43.17652602,5.74
-22.91287916,-43.17730319,6.3
-22.91917195,-43.17715203,42.08
-22.91370514,-43.17772428,7.05
-22.90943372,-43.17703876,5.67
-22.914278,-43.17800127,7.91
-22.91424559,-43.17776336,7.62
-22.91400331,-43.17777964,7.29
-22.91748662,-43.17710383,127.92
-22.91001314,-43.176381,5.76
-22.91945774,-43.17839137,70.18
-22.91574234,-43.17783458,13.49
-22.9157009,-43.1778526,9.99
-22.91945895,-43.17840035,128.42
-22.9117391,-43.1765515,5.81
-22.91252659,-43.17695384,6.03
-22.91948193,-43.17842019,26.84
-22.9096539,-43.1766726,5.7
